session_id,user_id,age,gender,year_of_study,device_type,keyboard_type,question_id,question_text,prompt_context,window_start_ts,window_end_ts,duration_ms,n_keydowns,n_keyups,chars_per_sec,dwell_mean_ms,dwell_std_ms,dwell_median_ms,dwell_p10_ms,dwell_p90_ms,dd_mean_ms,dd_std_ms,dd_median_ms,pauses_gt_200,pauses_gt_500,pauses_gt_1000,longest_pause_ms,backspace_count,cv_dwell,cv_dd,hist_bin_0,hist_bin_1,hist_bin_2,hist_bin_3,hist_bin_4,hist_bin_5,inter_entropy,label_raw,raw_events_path
c4cc4737-989d-41c2-8bc7-40b17fbdbddc,395139bb-64ab-4d70-a75a-82e8935ba156,20,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,1,"Tell a short example of a recent class or college day that went well.",Q1,1761586678544,1761586700353,21809,18,18,0.8253,130.5,59.953,123,73,178,503.706,864.272,233,6,4,1,3733,0,0.4594,1.7158,5,10,14,2,3,1,1.478149,2,
3b277477-fc06-4977-9c20-44be79f18ef4,395139bb-64ab-4d70-a75a-82e8935ba156,20,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,2,"Describe a small, real annoyance you face at college (examples: gossip, faculty attitude, daily routine fatigue).",Q2,1761586701315,1761586723492,22177,59,59,2.6604,122.407,28.819,118,85,160,237.914,257.485,175,9,1,1,1830,4,0.2354,1.0823,28,35,45,8,0,1,1.294873,3,
7af54480-0f9f-4ba5-abf9-c133c81f48a1,395139bb-64ab-4d70-a75a-82e8935ba156,20,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,3,"How are you feeling about upcoming exams or assignments this semester?",Q3,1761586724117,1761586746149,22032,56,56,2.5418,116.304,31.588,119,79,160,262.6,403.554,189,7,2,1,3021,3,0.2716,1.5368,24,24,56,5,1,1,1.231931,5,
932c2839-e494-419a-b640-b4cc559b8e31,395139bb-64ab-4d70-a75a-82e8935ba156,20,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,4,"Mention one non-academic issue bothering you lately (sleep, money, relationships, commute).",Q4,1761586746773,1761586768367,21594,80,80,3.7047,121.388,36.581,113,84,169,191.532,188.095,165,6,2,1,1595,0,0.3014,0.9821,46,52,55,4,1,1,1.247957,5,
baf76054-bffa-4d43-9b44-b3804c576305,395139bb-64ab-4d70-a75a-82e8935ba156,20,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,5,"What do you usually do to relax after a busy day?",Q5,1761586768992,1761586790729,21737,53,53,2.4382,108.868,26.84,108,86,134,272.385,285.35,205,12,3,1,1873,2,0.2465,1.0476,20,31,42,9,2,1,1.372897,5,
b80ce978-b6f9-4511-8cab-e0706580443a,395139bb-64ab-4d70-a75a-82e8935ba156,21,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,1,"Tell a short example of a recent class or college day that went well.",Q1,1761675597756,1761675627949,30193,62,62,2.0535,132.081,62.662,125,81,190,66.131,75.335,49,1,0,0,375,0,0.4744,1.1392,94,25,3,1,0,0,0.659034,1,
a06b5b77-072b-4706-94ac-9532853cbb75,395139bb-64ab-4d70-a75a-82e8935ba156,21,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,2,"Describe a small, real annoyance you face at college (examples: gossip, faculty attitude, daily routine fatigue).",Q2,1761675628912,1761675657316,28404,40,40,1.4083,135.975,84.101,117,53,242,362.615,1926.857,45,1,1,1,12189,0,0.6185,5.3138,67,10,1,0,0,1,0.511976,2,
c13b5f4e-cf98-4195-b210-943486e243a4,395139bb-64ab-4d70-a75a-82e8935ba156,21,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,3,"How are you feeling about upcoming exams or assignments this semester?",Q3,1761675657943,1761675679089,21146,69,69,3.263,124.739,139.831,100,43,167,53.941,74.114,37,1,0,0,325,0,1.121,1.374,121,11,4,1,0,0,0.451275,1,
7ac217d7-be9a-4670-a64f-884505aadc05,395139bb-64ab-4d70-a75a-82e8935ba156,21,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,4,"Mention one non-academic issue bothering you lately (sleep, money, relationships, commute).",Q4,1761675679718,1761675701390,21672,60,60,2.7685,145.717,157.412,110,49,225,52.153,42.118,40,0,0,0,140,0,1.0803,0.8076,98,19,2,0,0,0,0.521498,4,
4344ba59-063a-4945-b4f3-3bf50ab421a8,395139bb-64ab-4d70-a75a-82e8935ba156,21,Male,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36,,5,"What do you usually do to relax after a busy day?",Q5,1761675702005,1761675726086,24081,36,36,1.495,127.111,83.811,120,58,197,36.629,27.55,25,0,0,0,79,0,0.6594,0.7521,69,2,0,0,0,0,0.128319,4,
